1	H	 Hydrogen	1.0079407538967635
2	He	 Helium	4.002601932146926
3	Li	 Lithium	6.940037632200444
4	Be	 Beryllium	9.01218224
5	B	 Boron	10.8110281284
6	C	 Carbon	12.010735896764565
7	N	 Nitrogen	14.006703211872013
8	O	 Oxygen	15.99940492727602
9	F	 Fluorine	18.998403227
10	Ne	 Neon	20.180046379828486
11	Na	 Sodium	22.989769280929
12	Mg	 Magnesium	24.305051612756515
13	Al	 Aluminium	26.9815386312
14	Si	 Silicon	28.085498706539465
15	P	 Phosphorus	30.973761632000002
17	Cl	 Chlorine	35.4529375824264
16	S	 Sulfur	32.0647872364133
19	K	 Potassium	39.0983011264695
18	Ar	 Argon	39.94767671337299
21	Sc	 Scandium	44.95591199
20	Ca	 Calcium	40.078022655762524
23	V	 Vanadium	50.9414675085
22	Ti	 Titanium	47.866749335159994
25	Mn	 Manganese	54.93804517
24	Cr	 Chromium	51.99613314762095
27	Co	 Cobalt	58.93319506999999
26	Fe	 Iron	55.8451456935552
29	Cu	 Copper	63.546039795084994
28	Ni	 Nickel	58.69335163208454
31	Ga	 Gallium	69.72306563428617
30	Zn	 Zinc	65.40872812701322
34	Se	 Selenium	78.9593882599375
35	Br	 Bromine	79.9035279923569
32	Ge	 Germanium	72.63984326005341
33	As	 Arsenic	74.92159652
38	Sr	 Strontium	87.6166441185128
39	Y	 Yttrium	88.905848327
36	Kr	 Krypton	83.7980066431168
37	Rb	 Rubidium	85.46766359470149
42	Mo	 Molybdenum	95.9375921271376
40	Zr	 Zirconium	91.22364763203382
41	Nb	 Niobium	92.90637812599999
46	Pd	 Palladium	106.415329147464
47	Ag	 Silver	107.868151248228
44	Ru	 Ruthenium	101.06494557233337
45	Rh	 Rhodium	102.90550430000002
51	Sb	 Antimony	121.75978615571421
50	Sn	 Tin	118.7101084993178
49	In	 Indium	114.81808621342
48	Cd	 Cadmium	112.41155226203729
55	Cs	 Caesium	132.90545193324
54	Xe	 Xenon	131.29276070673757
53	I	 Iodine	126.9044734
52	Te	 Tellurium	127.60312786587178
59	Pr	 Praseodymium	140.907652826
58	Ce	 Cerium	140.11572627079408
57	La	 Lanthanum	138.90545400916656
56	Ba	 Barium	137.3268918829641
63	Eu	 Europium	151.96437050019
62	Sm	 Samarium	150.36634856108682
60	Nd	 Neodymium	144.236131428275
68	Er	 Erbium	167.2590762855935
69	Tm	 Thulium	168.934213327
70	Yb	 Ytterbium	173.0376956147714
71	Lu	 Lutetium	174.96672140854997
64	Gd	 Gadolinium	157.25212224243998
65	Tb	 Terbium	158.925346827
66	Dy	 Dysprosium	162.4994657248942
67	Ho	 Holmium	164.930322127
76	Os	 Osmium	190.2248630659075
77	Ir	 Iridium	192.2160564328
78	Pt	 Platinum	195.07780798493403
79	Au	 Gold	196.96656876
72	Hf	 Hafnium	178.48497216511578
73	Ta	 Tantalum	180.9478757552806
74	W	 Tungsten	183.84177817259666
75	Re	 Rhenium	186.206706624852
81	Tl	 Thallium	204.38341252384
80	Hg	 Mercury	200.599166666798
83	Bi	 Bismuth	208.98039871599997
82	Pb	 Lead	207.216907676
92	U	 Uranium	238.02891028165737
91	Pa	 Protactinium	231.035884024
90	Th	 Thorium	232.038055321
102	Cf	 Californium	251.0
103	Lr	 Lawrencium	260.0
101	Cm	 Curium	247.0
110	Fm	 Fermium	257.0
111	Pu	 Plutonium	244.0
108	Np	 Neptunium	237.0482
109	Fr	 Francium	223.0
106	Es	 Einsteinium	252.0
107	No	 Nobelium	259.0
104	Tc	 Technetium	98.0
105	Md	 Mendelevium	258.0
119	Ra	 Radium	226.0254
118	Bk	 Berkelium	247.0
117	Rn	 Radon	222.0
116	Am	 Americium	243.0
115	Ac	 Actinium	227.0278
114	At	 Astatine	210.0
113	Po	 Polonium	209.0
112	Pm	 Promethium	145.0
