1	H	Hydrogen	1.0079407538967635
2	He	Helium	4.002601932146926
3	Li	Lithium	6.940037632200444
4	Be	Beryllium	9.01218224
5	B	Boron	10.8110281284
6	C	Carbon	12.010735896764565
7	N	Nitrogen	14.006703211872013
8	O	Oxygen	15.99940492727602
9	F	Fluorine	18.998403227
10	Ne	Neon	20.180046379828486
11	Na	Sodium	22.989769280929
12	Mg	Magnesium	24.305051612756515
13	Al	Aluminium	26.9815386312
14	Si	Silicon	28.085498706539465
15	P	Phosphorus	30.973761632000002
16	S	Sulfur	32.0647872364133
17	Cl	Chlorine	35.4529375824264
18	Ar	Argon	39.947676713373
19	K	Potassium	39.0983011264695
20	Ca	Calcium	40.078022655762524
21	Sc	Scandium	44.95591199
22	Ti	Titanium	47.86674933516
23	V	Vanadium	50.9414675085
24	Cr	Chromium	51.99613314762095
25	Mn	Manganese	54.93804517
26	Fe	Iron	55.8451456935552
27	Co	Cobalt	58.93319506999999
28	Ni	Nickel	58.69335163208455
29	Cu	Copper	63.546039795084994
30	Zn	Zinc	65.40872812701322
31	Ga	Gallium	69.72306563428617
32	Ge	Germanium	72.63984326005341
33	As	Arsenic	74.92159652
34	Se	Selenium	78.9593882599375
35	Br	Bromine	79.9035279923569
36	Kr	Krypton	83.7980066431168
37	Rb	Rubidium	85.46766359470149
38	Sr	Strontium	87.6166441185128
39	Y	Yttrium	88.905848327
40	Zr	Zirconium	91.22364763203382
41	Nb	Niobium	92.90637812599999
42	Mo	Molybdenum	95.93759212713759
43	Tc	Technetium	98.0
44	Ru	Ruthenium	101.0649455723334
45	Rh	Rhodium	102.90550430000002
46	Pd	Palladium	106.41532914746399
47	Ag	Silver	107.868151248228
48	Cd	Cadmium	112.41155226203729
49	In	Indium	114.81808621342
50	Sn	Tin	118.71010849931781
51	Sb	Antimony	121.75978615571421
52	Te	Tellurium	127.60312786587177
53	I	Iodine	126.9044734
54	Xe	Xenon	131.29276070673757
55	Cs	Caesium	132.90545193324
56	Ba	Barium	137.3268918829641
57	La	Lanthanum	138.90545400916656
58	Ce	Cerium	140.11572627079408
59	Pr	Praseodymium	140.907652826
60	Nd	Neodymium	144.236131428275
61	Pm	Promethium	145.0
62	Sm	Samarium	150.3663485610868
63	Eu	Europium	151.96437050019
64	Gd	Gadolinium	157.25212224243995
65	Tb	Terbium	158.925346827
66	Dy	Dysprosium	162.49946572489424
67	Ho	Holmium	164.930322127
68	Er	Erbium	167.25907628559352
69	Tm	Thulium	168.934213327
70	Yb	Ytterbium	173.0376956147714
71	Lu	Lutetium	174.96672140854997
72	Hf	Hafnium	178.4849721651158
73	Ta	Tantalum	180.9478757552806
74	W	Tungsten	183.8417781725967
75	Re	Rhenium	186.206706624852
76	Os	Osmium	190.2248630659075
77	Ir	Iridium	192.2160564328
78	Pt	Platinum	195.077807984934
79	Au	Gold	196.96656876
80	Hg	Mercury	200.599166666798
81	Tl	Thallium	204.38341252384
82	Pb	Lead	207.21690767600003
83	Bi	Bismuth	208.98039871599997
84	Po	Polonium	209.0
85	At	Astatine	210.0
86	Rn	Radon	222.0
87	Fr	Francium	223.0
88	Ra	Radium	226.0
89	Ac	Actinium	227.0
90	Th	Thorium	232.038055321
91	Pa	Protactinium	231.035884024
92	U	Uranium	238.02891028165737
93	Np	Neptunium	237.0
94	Pu	Plutonium	244.0
95	Am	Americium	0.0
96	Cm	Curium	0.0
97	Bk	Berkelium	0.0
98	Cf	Californium	0.0
99	Es	Einsteinium	0.0
100	Fm	Fermium	0.0
101	Md	Mendelevium	0.0
102	No	Nobelium	0.0
103	Lr	Lawrencium	0.0
104	Rf	Rutherfordium	0.0
105	Db	Dubnium	0.0
106	Sg	Seaborgium	0.0
107	Bh	Bohrium	0.0
108	Hs	Hassium	0.0
109	Mt	Meitnerium	0.0
110	Ds	Darmstadtium	0.0
111	Rg	Roentgenium	0.0
112	Cn	Copernicium	0.0
113	Uut	Ununtrium	0.0
114	Uuq		0.0
115	Uup	Ununpentium	0.0
116	Uuh		0.0
117	Uus	Ununseptium	0.0
